Product Code,Product Name/Size,Price
810035,Photo Print 3.5x5,1.15
810045,Photo Print 4x5,1.15
810046,Photo Print 4x6,1.19
810055,Photo Print 5x5,1.55
810057,Photo Print 5x7,1.89
810088,Photo Print 8x8,3.25
810231,Photo Print 8up Wallet,2.99
810334,Photo Print Mini Snapshot,0.8
810410,Photo Print 4x10,2.05
810510,Photo Print 5x10,2.3
810710,Photo Print 7x10,2.85
810810,Photo Print 8x10,2.85
810812,Photo Print 8x12,5.2
810912,Photo Print 9x12,5.2
811010,Photo Print 10x10,4.05
811013,Photo Print 10x13,5.35
811015,Photo Print 10x15,6.05
811114,Photo Print 11x14,6.05
811116,Photo Print 11x16,9
