Product Code,Product Name/Size,Price
810035,Photo Print 3.5x5,1.15
810045,Photo Print 4x5,1.15
810046,Photo Print 4x6,1.19
810055,Photo Print 5x5,1.55
810057,Photo Print 5x7,1.89
810088,Photo Print 8x8,3.25
810231,Photo Print 8up Wallet,2.99
810334,Photo Print Mini Snapshot,0.8
810410,Photo Print 4x10,2.0500000000000003
810510,Photo Print 5x10,2.3000000000000003
810710,Photo Print 7x10,2.85
810810,Photo Print 8x10,2.85
810812,Photo Print 8x12,5.2
810912,Photo Print 9x12,5.2
811010,Photo Print 10x10,4.05
811013,Photo Print 10x13,5.3500000000000005
811015,Photo Print 10x15,6.050000000000001
811114,Photo Print 11x14,6.050000000000001
811116,Photo Print 11x16,9
811212,Photo Print 12x12,5.95
811218,Photo Print 12x18,9
810530,Photo Print 5x30,23.75
811020,Photo Print 10x20,13
811030,Photo Print 10x30,24.5
811224,Photo Print 12x24,21.5
811530,Photo Print 15x30,37
811616,Photo Print 16x16,21.5
811620,Photo Print 16x20,21.5
811624,Photo Print 16x24,30.75
812020,Photo Print 20x20,31.5
812024,Photo Print 20x24,31.75
812030,Photo Print 20x30,40
812040,Photo Print 20x40,58.25
812430,Photo Print 24x30,48.75
812436,Photo Print 24x36,67
813030,Photo Print 30x30,67
813040,Photo Print 30x40,68.5
813045,Photo Print 30x45,80
890035,Fuji Pearl Photo Print 3.5x5,1.25
890045,Fuji Pearl Photo Print 4x5,1.25
890046,Fuji Pearl Photo Print 4x6,1.3
890055,Fuji Pearl Photo Print 5x5,1.7000000000000002
890057,Fuji Pearl Photo Print 5x7,2.1
890088,Fuji Pearl Photo Print 8x8,3.6
890231,Fuji Pearl Photo Print 8up Wallet,3.3000000000000003
890334,Fuji Pearl Photo Print Mini Snapshot,0.9
890410,Fuji Pearl Photo Print 4x10,2.25
890510,Fuji Pearl Photo Print 5x10,2.5500000000000003
890530,Fuji Pearl Photo Print 5x30,26.1
890710,Fuji Pearl Photo Print 7x10,3.2
890810,Fuji Pearl Photo Print 8x10,3.2
890812,Fuji Pearl Photo Print 8x12,5.75
890912,Fuji Pearl Photo Print 9x12,5.75
891010,Fuji Pearl Photo Print 10x10,4.5
891013,Fuji Pearl Photo Print 10x13,6
891015,Fuji Pearl Photo Print 10x15,6.75
891020,Fuji Pearl Photo Print 10x20,14.5
891030,Fuji Pearl Photo Print 10x30,27
891114,Fuji Pearl Photo Print 11x14,6.75
891116,Fuji Pearl Photo Print 11x16,10
891212,Fuji Pearl Photo Print 12x12,6.75
891218,Fuji Pearl Photo Print 12x18,10
891224,Fuji Pearl Photo Print 12x24,23.5
891530,Fuji Pearl Photo Print 15x30,41
891616,Fuji Pearl Photo Print 16x16,24
891620,Fuji Pearl Photo Print 16x20,24
891624,Fuji Pearl Photo Print 16x24,34
892020,Fuji Pearl Photo Print 20x20,35
892024,Fuji Pearl Photo Print 20x24,35
892030,Fuji Pearl Photo Print 20x30,44
892040,Fuji Pearl Photo Print 20x40,65
892430,Fuji Pearl Photo Print 24x30,54
892436,Fuji Pearl Photo Print 24x36,74
893030,Fuji Pearl Photo Print 30x30,74
893040,Fuji Pearl Photo Print 30x40,76
893045,Fuji Pearl Photo Print 30x45,88
900035,Deep Matte Photo Print 3.5x5,1.55
900045,Deep Matte Photo Print 4x5,1.55
900046,Deep Matte Photo Print 4x6,1.6
900055,Deep Matte Photo Print 5x5,2.1
900057,Deep Matte Photo Print 5x7,2.5500000000000003
900088,Deep Matte Photo Print 8x8,4.4
900231,Deep Matte Photo Print 8up Wallet,4.05
900334,Deep Matte Photo Print Mini Snapshot,1.25
900410,Deep Matte Photo Print 4x10,2.8000000000000003
900510,Deep Matte Photo Print 5x10,3.1500000000000004
900530,Deep Matte Photo Print 5x30,32
900710,Deep Matte Photo Print 7x10,3.9000000000000004
900810,Deep Matte Photo Print 8x10,3.9000000000000004
900812,Deep Matte Photo Print 8x12,7.25
900912,Deep Matte Photo Print 9x12,7.25
901010,Deep Matte Photo Print 10x10,5.5
901013,Deep Matte Photo Print 10x13,7.25
901015,Deep Matte Photo Print 10x15,8.25
901020,Deep Matte Photo Print 10x20,17.75
901030,Deep Matte Photo Print 10x30,33.25
901114,Deep Matte Photo Print 11x14,8.25
901116,Deep Matte Photo Print 11x16,12.25
901212,Deep Matte Photo Print 12x12,8.25
901218,Deep Matte Photo Print 12x18,12.25
901224,Deep Matte Photo Print 12x24,29
901530,Deep Matte Photo Print 15x30,50
901616,Deep Matte Photo Print 16x16,29
901620,Deep Matte Photo Print 16x20,29
901624,Deep Matte Photo Print 16x24,42
902020,Deep Matte Photo Print 20x20,43
902024,Deep Matte Photo Print 20x24,43
902030,Deep Matte Photo Print 20x30,54
902040,Deep Matte Photo Print 20x40,79
902424,Deep Matte Photo Print 24x24,66
902430,Deep Matte Photo Print 24x30,66
902436,Deep Matte Photo Print 24x36,91
903030,Deep Matte Photo Print 30x30,91
903040,Deep Matte Photo Print 30x40,93
903045,Deep Matte Photo Print 30x45,108
